last,first,full_nm,nickname,ht,wt,reach,stance,w,l,d,belt,country,age_in_2023,active
Amanajas dos Santos,Maiara,Maiara Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,FALSE,BRA,27,FALSE
Amanda,Rayanne,Rayanne Amanda,,"5' 2""",115 lbs.,"62.0""",Orthodox,11,6,0,FALSE,BRA,29,FALSE
Amarante,Chris,Chris Amarante,,--,185 lbs.,--,,2,0,0,FALSE,BRA,27,FALSE
Ambriz,Jimmy,Jimmy Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,FALSE,UKR,31,FALSE
Ambrose,JJ,JJ Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,FALSE,USA,34,FALSE
Amedovski,Alen,Alen Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0,FALSE,MKD,#N/A,TRUE
Amil,Hyder,Hyder Amil,The Hurricane,--,145 lbs.,--,,7,0,0,FALSE,FRA,31,FALSE
Amirkhani,Makwan,Makwan Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0,FALSE,FIN,27,TRUE
Amorim,Jaqueline,Jaqueline Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,6,1,0,FALSE,BRA,31,FALSE
Amoussou,Bertrand,Bertrand Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,FALSE,UKR,31,FALSE
Amoussou,Karl,Karl Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,FALSE,FRA,34,FALSE
Anders,Eryk,Eryk Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,15,8,0,FALSE,USA,31,TRUE
Andersen,Matt,Matt Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,FALSE,USA,27,FALSE
Anderson,Andy,Andy Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,FALSE,USA,31,FALSE
Anderson,Lowell,Lowell Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,FALSE,USA,27,FALSE
Anderson,Corey,Corey Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,FALSE,USA,31,FALSE
Anderson,Derek,Derek Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,FALSE,USA,31,FALSE
Anderson,Megan,Megan Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,FALSE,AUS,27,FALSE
Ando,Tatsuya,Tatsuya Ando,,--,135 lbs.,--,,13,3,1,FALSE,JPN,28,FALSE
Andrade,Alex,Alex Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,FALSE,JPN,#N/A,FALSE
Andrade,Jessica,Jessica Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,24,11,0,FALSE,BRA,31,FALSE
Andrade,Viscardi,Viscardi Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,FALSE,BRA,28,FALSE
Andre,Jermaine,Jermaine Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,FALSE,BRA,31,FALSE
Andres Luna,Juan,Juan Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0,FALSE,RUS,34,FALSE
Andrew,Fellipe,Fellipe Andrew,,--,--,--,,0,0,0,FALSE,ECU,31,FALSE
Andrews,Dylan,Dylan Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,FALSE,NZL,31,FALSE
Andy,Reese,Reese Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,FALSE,USA,29,FALSE
Angga,, Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,FALSE,PER,#N/A,FALSE
Anglickas,Julius,Julius Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,FALSE,LTU,34,FALSE
Anglin,Collin,Collin Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0,FALSE,USA,31,FALSE
Anheliger,Chad,Chad Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,12,6,0,FALSE,CAN,31,TRUE
Anjo,Yoji,Yoji Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,FALSE,JPN,28,FALSE
Ankalaev,Magomed,Magomed Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,18,1,1,FALSE,RUS,27,TRUE
Antigulov,Gadzhimurad,Gadzhimurad Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,FALSE,RUS,31,FALSE
Antolin,Adam,Adam Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,FALSE,USA,#N/A,FALSE
Antonio,Angelo,Angelo Antonio,,--,205 lbs.,--,Orthodox,1,4,0,FALSE,USA,31,FALSE
Anyanwu,Azunna,Azunna Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,FALSE,USA,31,FALSE
Anzai,Shinsho,Shinsho Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,FALSE,JPN,29,FALSE
Aoki,Shinya,Shinya Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,FALSE,JPN,29,FALSE
Aoriqileng,, Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,24,10,0,FALSE,CHN,#N/A,FALSE
Appelt,Josh,Josh Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,FALSE,USA,34,FALSE
Apple,Erik,Erik Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,FALSE,USA,31,FALSE
Arai,Kenji,Kenji Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,FALSE,JPN,27,FALSE
Aram,Romie,Romie Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,FALSE,JPN,29,FALSE
Arantes,Felipe,Felipe Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,FALSE,BRA,31,FALSE
Araujo,Igor,Igor Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,FALSE,BRA,31,FALSE
Araujo,Viviane,Viviane Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,11,5,0,FALSE,BRA,28,FALSE
Arce,Julio,Julio Arce,,"5' 7""",135 lbs.,"70.0""",Southpaw,18,6,0,FALSE,USA,34,TRUE
Arciniega,Art,Art Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,FALSE,USA,31,FALSE
Arenal,Tristan,Tristan Arenal,,--,155 lbs.,--,,7,4,0,FALSE,USA,28,FALSE
Arges,Gabriel,Gabriel Arges,,--,170 lbs.,--,,0,0,0,FALSE,RUS,31,FALSE
Argueta,Dan,Dan Argueta,The Determined,"5' 7""",135 lbs.,"68.0""",Southpaw,9,1,0,FALSE,USA,31,FALSE
Arianto,Reza,Reza Arianto,The Crazy Lion,--,155 lbs.,--,,5,0,0,FALSE,USA,29,FALSE
Arkhagha,Hashem,Hashem Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0,FALSE,MEX,31,FALSE
Arlovski,Andrei,Andrei Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34,22,0,TRUE,BLR,31,FALSE
Armfield,Garrett,Garrett Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,8,3,0,FALSE,USA,31,TRUE
Armstrong,Joey,Joey Armstrong,,--,--,--,,5,2,0,FALSE,SCT,34,FALSE
