w_d,fighter,kd,str,td,sub,weight_class,method,round,time,event,date,location,,,,,,
win,Dustin Jacoby  Maxim Grishin,0  2,57  66,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Rozenstruik vs. Gane,02/27/21,"Las Vegas, Nevada, USA",,,,,,
win,Derrick Lewis  Curtis Blaydes,1  0,7  28,0  0,0  0,Heavyweight,KO/TKO: Punch,2,1:26,UFC Fight Night: Blaydes vs. Lewis,02/20/21,"Las Vegas, Nevada, USA",,,,,,
win,Yana Santos  Ketlen Vieira,0  0,47  7,0  3,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Blaydes vs. Lewis,02/20/21,"Las Vegas, Nevada, USA",,,,,,
win,Darrick Minner  Charles Rosa,1  0,45  15,4  0,3  2,Featherweight,U-DEC,3,5:00,UFC Fight Night: Blaydes vs. Lewis,02/20/21,"Las Vegas, Nevada, USA",,,,,,
win,Chris Daukaus  Aleksei Oleinik,0  0,34  5,0  0,0  0,Heavyweight,KO/TKO: Punches,1,1:55,UFC Fight Night: Blaydes vs. Lewis,02/20/21,"Las Vegas, Nevada, USA",,,,,,
win,Phil Hawes  Nassourdine Imavov,0  0,31  57,4  0,0  0,Middleweight,M-DEC,3,5:00,UFC Fight Night: Blaydes vs. Lewis,02/20/21,"Las Vegas, Nevada, USA",,,,,,
win,Tom Aspinall  Andrei Arlovski,0  0,37  20,1  0,1  0,Heavyweight,SUB: Rear Naked Choke,2,1:09,UFC Fight Night: Blaydes vs. Lewis,02/20/21,"Las Vegas, Nevada, USA",,,,,,
win,Jared Gordon  Danny Chavez,0  0,82  39,2  1,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Blaydes vs. Lewis,02/20/21,"Las Vegas, Nevada, USA",,,,,,
win,John Castaneda  Eddie wineland,1  0,42  17,0  1,0  0,Bantamweight,KO/TKO: Punches,1,4:44,UFC Fight Night: Blaydes vs. Lewis,02/20/21,"Las Vegas, Nevada, USA",,,,,,
win,Julian Erosa  Nate Landwehr,1  0,15  9,0  0,0  0,Featherweight,KO/TKO: Flying Knee,1,0:56,UFC Fight Night: Blaydes vs. Lewis,02/20/21,"Las Vegas, Nevada, USA",,,,,,
win,Casey O'Neill  Shana Dobson,0  0,49  16,4  0,1  0,Women's Flyweight,KO/TKO: Punches,2,3:41,UFC Fight Night: Blaydes vs. Lewis,02/20/21,"Las Vegas, Nevada, USA",,,,,,
win,Aiemann Zahabi  Drako Rodriguez,1  0,9  11,0  0,0  0,Bantamweight,KO/TKO: Punch,1,3:05,UFC Fight Night: Blaydes vs. Lewis,02/20/21,"Las Vegas, Nevada, USA",,,,,,
win,Serghei Spivac  Jared Vanderaa,0  0,51  13,3  0,0  0,Heavyweight,KO/TKO: Punches,2,4:32,UFC Fight Night: Blaydes vs. Lewis,02/20/21,"Las Vegas, Nevada, USA",,,,,,
win,Kamaru Usman  Gilbert Burns,2  0,83  45,0  0,0  0,Welterweight,KO/TKO: Punches,3,0:34,UFC 258: Usman vs. Burns,02/13/21,"Las Vegas, Nevada, USA",,,,,,
win,Alexa Grasso  Maycee Barber,0  0,38  40,0  3,1  0,Women's Flyweight,U-DEC,3,5:00,UFC 258: Usman vs. Burns,02/13/21,"Las Vegas, Nevada, USA",,,,,,
win,Kelvin Gastelum  Ian Heinisch,0  0,38  27,6  1,0  2,Middleweight,U-DEC,3,5:00,UFC 258: Usman vs. Burns,02/13/21,"Las Vegas, Nevada, USA",,,,,,
win,Ricky Simon  Brian Kelleher,0  0,45  19,6  0,1  0,Featherweight,U-DEC,3,5:00,UFC 258: Usman vs. Burns,02/13/21,"Las Vegas, Nevada, USA",,,,,,
win,Julian Marquez  Maki Pitolo,0  0,41  32,0  5,4  1,Middleweight,SUB: Anaconda Choke,3,4:17,UFC 258: Usman vs. Burns,02/13/21,"Las Vegas, Nevada, USA",,,,,,
win,Anthony Hernandez  Rodolfo Vieira,0  0,32  9,0  4,2  0,Middleweight,SUB: Guillotine Choke,2,1:53,UFC 258: Usman vs. Burns,02/13/21,"Las Vegas, Nevada, USA",,,,,,
win,Belal Muhammad  Dhiego Lima,0  0,129  69,1  0,0  0,Welterweight,U-DEC,3,5:00,UFC 258: Usman vs. Burns,02/13/21,"Las Vegas, Nevada, USA",,,,,,
win,Polyana Viana  Mallory Martin,0  0,4  5,0  1,5  0,Women's Strawweight,SUB: Armbar,1,3:18,UFC 258: Usman vs. Burns,02/13/21,"Las Vegas, Nevada, USA",,,,,,
win,Chris Gutierrez  Andre Ewell,1  0,69  59,1  1,0  1,Catch Weight,U-DEC,3,5:00,UFC 258: Usman vs. Burns,02/13/21,"Las Vegas, Nevada, USA",,,,,,
win,Gabe Green  Phil Rowe,2  0,70  42,2  2,1  0,Welterweight,U-DEC,3,5:00,UFC 258: Usman vs. Burns,02/13/21,"Las Vegas, Nevada, USA",,,,,,
win,Alexander Volkov  Alistair Overeem,1  0,54  10,0  0,0  0,Heavyweight,KO/TKO: Punch,2,2:06,UFC Fight Night: Overeem vs. Volkov,02/06/21,"Las Vegas, Nevada, USA",,,,,,
win,Cory Sandhagen  Frankie Edgar,1  0,2  2,0  0,0  0,Bantamweight,KO/TKO: Flying Knee,1,0:28,UFC Fight Night: Overeem vs. Volkov,02/06/21,"Las Vegas, Nevada, USA",,,,,,
win,Clay Guida  Michael Johnson,0  0,49  58,3  0,1  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Overeem vs. Volkov,02/06/21,"Las Vegas, Nevada, USA",,,,,,
win,Alexandre Pantoja  Manel Kape,0  0,74  49,0  2,0  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Overeem vs. Volkov,02/06/21,"Las Vegas, Nevada, USA",,,,,,
win,Beneil Dariush  Diego Ferreira,0  0,62  54,5  0,0  0,Lightweight,S-DEC,3,5:00,UFC Fight Night: Overeem vs. Volkov,02/06/21,"Las Vegas, Nevada, USA",,,,,,
win,Danilo Marques  Mike Rodriguez,0  0,29  16,4  0,2  0,Light Heavyweight,SUB: Rear Naked Choke,2,4:52,UFC Fight Night: Overeem vs. Volkov,02/06/21,"Las Vegas, Nevada, USA",,,,,,
win,Devonte Smith  Justin Jaynes,0  0,34  11,1  0,1  0,Catch Weight,KO/TKO,2,3:38,UFC Fight Night: Overeem vs. Volkov,02/06/21,"Las Vegas, Nevada, USA",,,,,,
win,Karol Rosa  Joselyne Edwards,0  0,57  38,4  1,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Overeem vs. Volkov,02/06/21,"Las Vegas, Nevada, USA",,,,,,
win,Lara Procopio  Molly McCann,0  0,36  37,7  0,1  1,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Overeem vs. Volkov,02/06/21,"Las Vegas, Nevada, USA",,,,,,
win,SeungWoo Choi  Youssef Zalal,0  0,41  23,2  3,0  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Overeem vs. Volkov,02/06/21,"Las Vegas, Nevada, USA",,,,,,
win,Timur Valiev  Martin Day,0  0,55  8,4  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Overeem vs. Volkov,02/06/21,"Las Vegas, Nevada, USA",,,,,,
win,Ode Osbourne  Jerome Rivera,1  0,5  2,0  0,0  0,Featherweight,KO/TKO: Punch,1,0:26,UFC Fight Night: Overeem vs. Volkov,02/06/21,"Las Vegas, Nevada, USA",,,,,,
win,Dustin Poirier  Conor McGregor,1  0,48  29,1  0,0  0,Lightweight,KO/TKO: Punches,2,2:32,UFC 257: Poirier vs. McGregor,01/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Michael Chandler  Dan Hooker,1  0,17  8,0  0,0  0,Lightweight,KO/TKO: Punch,1,2:30,UFC 257: Poirier vs. McGregor,01/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Joanne Wood  Jessica Eye,0  0,148  77,1  1,0  0,Women's Flyweight,U-DEC,3,5:00,UFC 257: Poirier vs. McGregor,01/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Makhmud Muradov  Andrew Sanchez,0  0,79  48,0  0,0  0,Middleweight,KO/TKO: Punches,3,2:59,UFC 257: Poirier vs. McGregor,01/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Marina Rodriguez  Amanda Ribas,1  0,15  7,0  1,0  0,Women's Strawweight,KO/TKO: Punch,2,0:54,UFC 257: Poirier vs. McGregor,01/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Arman Tsarukyan  Matt Frevola,0  0,50  16,10  0,0  0,Lightweight,U-DEC,3,5:00,UFC 257: Poirier vs. McGregor,01/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Brad Tavares  Antonio Carlos Junior,0  0,54  34,0  1,0  0,Middleweight,U-DEC,3,5:00,UFC 257: Poirier vs. McGregor,01/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Julianna Pena  Sara McMann,0  0,38  21,1  3,1  0,Women's Bantamweight,SUB: Rear Naked Choke,3,3:39,UFC 257: Poirier vs. McGregor,01/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Marcin Prachnio  Khalil Rountree Jr.,0  0,102  49,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 257: Poirier vs. McGregor,01/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Movsar Evloev  Nik Lentz,0  0,82  46,2  1,0  2,Catch Weight,S-DEC,3,5:00,UFC 257: Poirier vs. McGregor,01/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Amir Albazi  Zhalgas Zhumagulov,0  0,68  59,2  1,0  0,Flyweight,U-DEC,3,5:00,UFC 257: Poirier vs. McGregor,01/23/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Michael Chiesa  Neil Magny,0  0,24  12,4  1,0  1,Welterweight,U-DEC,5,5:00,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Warlley Alves  Mounir Lazzez,1  0,17  2,1  0,0  0,Welterweight,KO/TKO: Kick,1,2:35,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Ike Villanueva  Vinicius Moreira,1  0,24  24,0  0,0  0,Light Heavyweight,KO/TKO: Punch,2,0:39,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Viviane Araujo  Roxanne Modafferi,0  0,86  46,4  0,1  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Matt Schnell  Tyson Nam,0  0,85  58,0  0,0  0,Flyweight,S-DEC,3,5:00,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Lerone Murphy  Douglas Silva de Andrade,0  0,48  39,1  1,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Omari Akhmedov  Tom Breese,0  0,25  1,2  0,1  3,Middleweight,SUB: Arm Triangle,2,1:41,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Ricky Simon  Gaetano Pirrello,0  0,17  6,7  0,1  0,Bantamweight,SUB: Arm Triangle,2,4:00,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Sumudaerji  Zarrukh Adashev,0  0,50  28,0  0,0  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Dalcha Lungiambula  Markus Perez,0  0,29  25,1  0,0  1,Middleweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Francisco Figueiredo  Jerome Rivera,0  0,29  31,4  0,0  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Mike Davis  Mason Jones,0  0,108  117,3  1,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Umar Nurmagomedov  Sergey Morozov,0  0,25  7,5  0,1  0,Bantamweight,SUB: Rear Naked Choke,2,3:39,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Manon Fiorot  Victoria Leonardo,0  0,53  17,1  0,0  0,Women's Flyweight,KO/TKO: Punches,2,4:08,UFC Fight Night: Chiesa vs. Magny,01/20/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Max Holloway  Calvin Kattar,0  0,445  133,0  0,0  0,Featherweight,U-DEC,5,5:00,UFC Fight Night: Holloway vs. Kattar,01/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Carlos Condit  Matt Brown,0  0,39  28,2  1,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. Kattar,01/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Li Jingliang  Santiago Ponzinibbio,1  0,21  11,0  0,0  0,Welterweight,KO/TKO: Punch,1,4:25,UFC Fight Night: Holloway vs. Kattar,01/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Alessio Di Chirico  Joaquin Buckley,1  0,12  3,0  0,0  0,Middleweight,KO/TKO: Kick,1,2:12,UFC Fight Night: Holloway vs. Kattar,01/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Punahele Soriano  Dusko Todorovic,2  0,30  22,0  0,0  0,Middleweight,KO/TKO: Punch,1,4:48,UFC Fight Night: Holloway vs. Kattar,01/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Joselyne Edwards  Wu Yanan,0  0,88  58,0  1,1  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. Kattar,01/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Carlos Felipe  Justin Tafa,0  0,77  86,0  0,0  0,Heavyweight,S-DEC,3,5:00,UFC Fight Night: Holloway vs. Kattar,01/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Ramazan Emeev  David Zawada,0  0,53  44,4  1,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Holloway vs. Kattar,01/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Vanessa Melo  Sarah Moras,0  0,56  44,0  0,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. Kattar,01/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Austin Lingo  Jacob Kilburn,1  0,95  64,1  1,0  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Holloway vs. Kattar,01/16/21,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,,,,,
win,Stephen Thompson  Geoff Neal,0  0,171  85,0  0,0  0,Welterweight,U-DEC,5,5:00,UFC Fight Night: Thompson vs. Neal,12/19/20,"Las Vegas, Nevada, USA",,,,,,
win,Jose Aldo  Marlon Vera,0  0,44  46,0  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Neal,12/19/20,"Las Vegas, Nevada, USA",,,,,,
win,Michel Pereira  Khaos Williams,0  0,44  55,2  0,1  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Neal,12/19/20,"Las Vegas, Nevada, USA",,,,,,
win,Rob Font  Marlon Moraes,1  0,30  9,0  2,0  0,Bantamweight,KO/TKO: Punches,1,3:47,UFC Fight Night: Thompson vs. Neal,12/19/20,"Las Vegas, Nevada, USA",,,,,,
win,Marcin Tybura  Greg Hardy,0  0,51  50,1  0,0  0,Heavyweight,KO/TKO: Punches,2,4:31,UFC Fight Night: Thompson vs. Neal,12/19/20,"Las Vegas, Nevada, USA",,,,,,
win,Anthony Pettis  Alex Morono,0  0,50  31,0  1,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Neal,12/19/20,"Las Vegas, Nevada, USA",,,,,,
win,Pannie Kianzad  Sijara Eubanks,0  0,92  49,0  2,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Neal,12/19/20,"Las Vegas, Nevada, USA",,,,,,
win,Deron winn  Antonio Arroyo,0  0,20  45,12  0,0  0,Catch Weight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Neal,12/19/20,"Las Vegas, Nevada, USA",,,,,,
win,Taila Santos  Gillian Robertson,0  0,27  9,1  0,1  1,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Neal,12/19/20,"Las Vegas, Nevada, USA",,,,,,
win,Tafon Nchukwi  Jamie Pickett,1  0,120  40,0  1,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Neal,12/19/20,"Las Vegas, Nevada, USA",,,,,,
win,Jimmy Flick  Cody Durden,0  0,6  21,0  2,1  0,Flyweight,SUB: Triangle Choke,1,3:18,UFC Fight Night: Thompson vs. Neal,12/19/20,"Las Vegas, Nevada, USA",,,,,,
win,Christos Giagos  Carlton Minus,0  0,31  28,5  0,0  0,Catch Weight,U-DEC,3,5:00,UFC Fight Night: Thompson vs. Neal,12/19/20,"Las Vegas, Nevada, USA",,,,,,
draw,Deiveson Figueiredo  Brandon Moreno,0  0,137  132,2  4,0  0,Flyweight,M-DEC,5,5:00,UFC 256: Figueiredo vs. Moreno,12/12/20,"Las Vegas, Nevada, USA",,,,,,
win,Charles Oliveira  Tony Ferguson,0  0,41  19,3  0,3  0,Lightweight,U-DEC,3,5:00,UFC 256: Figueiredo vs. Moreno,12/12/20,"Las Vegas, Nevada, USA",,,,,,
win,Mackenzie Dern  Virna Jandiroba,0  0,82  63,0  1,0  0,Women's Strawweight,U-DEC,3,5:00,UFC 256: Figueiredo vs. Moreno,12/12/20,"Las Vegas, Nevada, USA",,,,,,
win,Kevin Holland  Jacare Souza,0  0,15  2,0  2,0  0,Middleweight,KO/TKO: Punch,1,1:45,UFC 256: Figueiredo vs. Moreno,12/12/20,"Las Vegas, Nevada, USA",,,,,,
win,Ciryl Gane  Junior Dos Santos,1  0,59  10,0  0,0  0,Heavyweight,KO/TKO: Elbow,2,2:34,UFC 256: Figueiredo vs. Moreno,12/12/20,"Las Vegas, Nevada, USA",,,,,,
win,Cub Swanson  Daniel Pineda,2  0,46  21,1  1,0  1,Featherweight,KO/TKO: Punch,2,1:52,UFC 256: Figueiredo vs. Moreno,12/12/20,"Las Vegas, Nevada, USA",,,,,,
win,Rafael Fiziev  Renato Moicano,1  0,21  15,0  0,0  0,Lightweight,KO/TKO: Punch,1,4:05,UFC 256: Figueiredo vs. Moreno,12/12/20,"Las Vegas, Nevada, USA",,,,,,
win,Gavin Tucker  Billy Quarantillo,0  0,106  84,7  0,0  0,Featherweight,U-DEC,3,5:00,UFC 256: Figueiredo vs. Moreno,12/12/20,"Las Vegas, Nevada, USA",,,,,,
win,Tecia Torres  Sam Hughes,0  0,52  20,1  0,0  0,Women's Strawweight,KO/TKO,1,5:00,UFC 256: Figueiredo vs. Moreno,12/12/20,"Las Vegas, Nevada, USA",,,,,,
win,Chase Hooper  Peter Barrett,0  0,57  48,0  0,2  0,Featherweight,SUB: Heel Hook,3,3:02,UFC 256: Figueiredo vs. Moreno,12/12/20,"Las Vegas, Nevada, USA",,,,,,
win,Marvin Vettori  Jack Hermansson,1  0,164  122,0  2,1  0,Middleweight,U-DEC,5,5:00,UFC Fight Night: Hermansson vs. Vettori,12/05/20,"Las Vegas, Nevada, USA",,,,,,
win,Jamahal Hill  Ovince Saint Preux,0  0,68  36,0  0,0  0,Light Heavyweight,KO/TKO: Punches,2,3:37,UFC Fight Night: Hermansson vs. Vettori,12/05/20,"Las Vegas, Nevada, USA",,,,,,
win,Gabriel Benitez  Justin Jaynes,1  0,38  22,0  0,0  0,Lightweight,KO/TKO: Knee,1,4:06,UFC Fight Night: Hermansson vs. Vettori,12/05/20,"Las Vegas, Nevada, USA",,,,,,
win,Roman Dolidze  John Allan,0  0,51  29,3  1,3  0,Light Heavyweight,S-DEC,3,5:00,UFC Fight Night: Hermansson vs. Vettori,12/05/20,"Las Vegas, Nevada, USA",,,,,,
win,Jordan Leavitt  Matt Wiman,0  0,1  0,1  0,0  0,Lightweight,KO/TKO: Slam,1,0:22,UFC Fight Night: Hermansson vs. Vettori,12/05/20,"Las Vegas, Nevada, USA",,,,,,
win,Louis Smolka  Jose Quinonez,0  0,59  43,3  2,0  0,Bantamweight,KO/TKO: Punches,2,2:15,UFC Fight Night: Hermansson vs. Vettori,12/05/20,"Las Vegas, Nevada, USA",,,,,,
win,Ilia Topuria  Damon Jackson,1  0,31  16,0  0,0  0,Featherweight,KO/TKO: Punch,1,2:38,UFC Fight Night: Hermansson vs. Vettori,12/05/20,"Las Vegas, Nevada, USA",,,,,,
win,Jake Collier  Gian Villante,0  0,123  80,0  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Hermansson vs. Vettori,12/05/20,"Las Vegas, Nevada, USA",,,,,,
win,Anthony Smith  Devin Clark,0  0,1  1,1  0,1  0,Light Heavyweight,SUB: Triangle Choke,1,2:34,UFC Fight Night: Smith vs. Clark,11/28/20,"Las Vegas, Nevada, USA",,,,,,
win,Miguel Baeza  Takashi Sato,0  0,40  15,1  0,1  0,Welterweight,SUB: Arm Triangle,2,4:28,UFC Fight Night: Smith vs. Clark,11/28/20,"Las Vegas, Nevada, USA",,,,,,
win,Parker Porter  Josh Parisian,0  0,126  114,2  0,1  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Smith vs. Clark,11/28/20,"Las Vegas, Nevada, USA",,,,,,
win,Bill Algeo  Spike Carlyle,0  0,70  23,1  4,0  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Smith vs. Clark,11/28/20,"Las Vegas, Nevada, USA",,,,,,
win,Norma Dumont  Ashlee Evans-Smith,1  0,94  42,2  0,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Smith vs. Clark,11/28/20,"Las Vegas, Nevada, USA",,,,,,
win,Jonathan Pearce  Kai Kamaka,0  0,51  47,5  1,1  1,Featherweight,KO/TKO: Punches,2,4:28,UFC Fight Night: Smith vs. Clark,11/28/20,"Las Vegas, Nevada, USA",,,,,,
win,Anderson Dos Santos  Martin Day,0  0,11  9,1  1,1  0,Bantamweight,SUB: Guillotine Choke,1,4:35,UFC Fight Night: Smith vs. Clark,11/28/20,"Las Vegas, Nevada, USA",,,,,,
win,Gina Mazany  Rachael Ostovich,1  0,72  41,7  0,1  0,Women's Flyweight,KO/TKO: Kick,3,4:10,UFC Fight Night: Smith vs. Clark,11/28/20,"Las Vegas, Nevada, USA",,,,,,
win,Sumudaerji  Malcolm Gordon,1  0,9  0,0  0,0  0,Flyweight,KO/TKO: Punches,1,0:44,UFC Fight Night: Smith vs. Clark,11/28/20,"Las Vegas, Nevada, USA",,,,,,
win,Nate Maness  Luke Sanders,1  0,33  55,1  0,1  0,Catch Weight,SUB: Rear Naked Choke,2,2:29,UFC Fight Night: Smith vs. Clark,11/28/20,"Las Vegas, Nevada, USA",,,,,,
win,Deiveson Figueiredo  Alex Perez,0  0,5  6,0  0,1  0,Flyweight,SUB: Guillotine Choke,1,1:57,UFC 255: Figueiredo vs. Perez,11/21/20,"Las Vegas, Nevada, USA",,,,,,
win,Valentina Shevchenko  Jennifer Maia,0  0,62  36,5  1,0  0,Women's Flyweight,U-DEC,5,5:00,UFC 255: Figueiredo vs. Perez,11/21/20,"Las Vegas, Nevada, USA",,,,,,
win,Tim Means  Mike Perry,0  0,128  64,0  1,0  2,Welterweight,U-DEC,3,5:00,UFC 255: Figueiredo vs. Perez,11/21/20,"Las Vegas, Nevada, USA",,,,,,
win,Katlyn Chookagian  Cynthia Calvillo,0  0,69  60,0  1,0  0,Women's Flyweight,U-DEC,3,5:00,UFC 255: Figueiredo vs. Perez,11/21/20,"Las Vegas, Nevada, USA",,,,,,
win,Paul Craig  Mauricio Rua,0  0,29  10,4  0,0  0,Light Heavyweight,KO/TKO: Punches,2,3:36,UFC 255: Figueiredo vs. Perez,11/21/20,"Las Vegas, Nevada, USA",,,,,,
win,Brandon Moreno  Brandon Royval,0  0,16  17,2  0,2  0,Flyweight,KO/TKO: Punches,1,4:59,UFC 255: Figueiredo vs. Perez,11/21/20,"Las Vegas, Nevada, USA",,,,,,
win,Joaquin Buckley  Jordan Wright,2  0,43  18,0  0,0  0,Middleweight,KO/TKO: Punches,2,0:18,UFC 255: Figueiredo vs. Perez,11/21/20,"Las Vegas, Nevada, USA",,,,,,
win,Antonina Shevchenko  Ariane Lipski,0  0,39  15,1  0,0  0,Women's Flyweight,KO/TKO: Punches,2,4:33,UFC 255: Figueiredo vs. Perez,11/21/20,"Las Vegas, Nevada, USA",,,,,,
win,Nicolas Dalby  Daniel Rodriguez,0  0,50  83,0  0,0  0,Welterweight,U-DEC,3,5:00,UFC 255: Figueiredo vs. Perez,11/21/20,"Las Vegas, Nevada, USA",,,,,,
win,Alan Jouban  Jared Gooden,0  0,168  100,0  1,2  0,Welterweight,U-DEC,3,5:00,UFC 255: Figueiredo vs. Perez,11/21/20,"Las Vegas, Nevada, USA",,,,,,
win,Kyle Daukaus  Dustin Stoltzfus,0  0,64  32,2  0,1  0,Middleweight,U-DEC,3,5:00,UFC 255: Figueiredo vs. Perez,11/21/20,"Las Vegas, Nevada, USA",,,,,,
win,Sasha Palatnikov  Louis Cosce,0  1,125  99,1  1,0  0,Welterweight,KO/TKO: Punches,3,2:47,UFC 255: Figueiredo vs. Perez,11/21/20,"Las Vegas, Nevada, USA",,,,,,
win,Rafael Dos Anjos  Paul Felder,0  0,92  98,6  1,0  0,Lightweight,S-DEC,5,5:00,UFC Fight Night: Felder vs. Dos Anjos,11/14/20,"Las Vegas, Nevada, USA",,,,,,
win,Khaos Williams  Abdul Razak Alhassan,1  0,5  2,0  0,0  0,Welterweight,KO/TKO: Punch,1,0:30,UFC Fight Night: Felder vs. Dos Anjos,11/14/20,"Las Vegas, Nevada, USA",,,,,,
win,Ashley Yoder  Miranda Granger,0  0,26  33,2  0,3  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Felder vs. Dos Anjos,11/14/20,"Las Vegas, Nevada, USA",,,,,,
win,Sean Strickland  Brendan Allen,1  0,94  51,1  0,0  0,Catch Weight,KO/TKO: Punches,2,1:32,UFC Fight Night: Felder vs. Dos Anjos,11/14/20,"Las Vegas, Nevada, USA",,,,,,
win,Cory McKenna  Kay Hansen,0  0,57  67,0  2,0  2,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Felder vs. Dos Anjos,11/14/20,"Las Vegas, Nevada, USA",,,,,,
win,Kanako Murata  Randa Markos,0  0,29  29,4  0,2  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Felder vs. Dos Anjos,11/14/20,"Las Vegas, Nevada, USA",,,,,,
