full_nm,nickname,country,age_in_2023,sig_str_pm,str_acc_percentage,str_abs_pm,str_def_percentage,td_avg_15m,td_acc_percentage,td_def_percentage,sub_avg_15m
Angela Hill,Overkill,USA,31, 5.46, 49, 4.97, 61, 0.54, 29, 76, 0.1
Jamahal Hill,Sweet Dreams,USA,31, 7.31, 54, 3.35, 47, 0.00, 0, 73, 0.0
Max Holloway,Blessed,USA,27, 7.16, 47, 4.79, 59, 0.28, 53, 84, 0.3
Holly Holm,The Preacher's Daughter,USA,31, 3.17, 40, 2.77, 56, 0.92, 31, 78, 0.1
Joseph Holmes,Uglyman Joe,USA,34, 2.88, 53, 3.08, 54, 1.49, 40, 50, 0.8
Scott Holtzman,Hot Sauce,USA,29, 4.32, 47, 3.66, 55, 1.88, 56, 67, 0.2
Dan Hooker,The Hangman,NZL,31, 4.83, 47, 4.61, 51, 0.85, 36, 81, 0.3
Chase Hooper,The Dream,USA,27, 5.00, 51, 3.67, 36, 1.47, 22, 50, 2.1
Sam Hughes,Sampage,USA,29, 3.79, 46, 4.23, 54, 1.12, 41, 57, 0.0
Harry Hunsucker,The Hurricane,USA,31, 3.54, 52, 6.53, 42, 0.00, 0, 0, 2.0
Dan Ige,50K,USA,31, 3.96, 45, 3.69, 57, 1.15, 26, 56, 0.3
Nassourdine Imavov,,RUS,29, 4.55, 53, 3.76, 58, 1.09, 31, 72, 1.7
Damon Jackson,Action,USA,31, 2.78, 40, 2.92, 51, 2.35, 38, 40, 1.8
Montel Jackson,Quik,USA,29, 3.36, 53, 1.41, 64, 3.42, 71, 69, 0.3
Dustin Jacoby,The Hanyak,USA,31, 5.44, 47, 4.03, 58, 0.40, 25, 60, 0.0
Virna Jandiroba,Carcara,BRA,28, 2.34, 40, 3.03, 56, 2.42, 39, 73, 1.0
Jasmine Jasudavicius,,CAN,31, 3.23, 41, 3.92, 51, 2.20, 44, 78, 0.0
Miles Johns,Chapo,USA,27, 3.63, 48, 2.85, 69, 0.86, 19, 92, 0.0
Michael Johnson,The Menace,USA,27, 4.28, 39, 3.91, 58, 0.46, 38, 80, 0.1
Charles Johnson,InnerG,USA,31, 4.23, 52, 3.75, 54, 0.23, 14, 54, 0.2
Jon Jones,Bones,USA,34, 4.29, 57, 2.22, 64, 1.93, 45, 95, 0.5
Trevin Jones,5 Star,GUM,28, 2.13, 37, 4.29, 39, 0.62, 15, 60, 0.2
Mason Jones,Dragon,USA,27, 5.61, 44, 4.94, 46, 3.16, 45, 80, 0.0
Krzysztof Jotko,,POL,27, 2.98, 42, 2.23, 57, 1.33, 39, 82, 0.1
Charles Jourdain,Air,CAN,26, 5.78, 49, 4.30, 57, 0.10, 16, 48, 0.4
Saidyokub Kakhramonov,,USA,29, 2.05, 51, 0.88, 58, 6.63, 48, 83, 1.9
Manel Kape,StarBoy,POR,27, 4.46, 52, 3.92, 54, 0.56, 28, 69, 0.6
Kai Kara-France,Don't Blink,RUS,34, 4.57, 39, 3.24, 65, 0.63, 33, 88, 0.0
Calvin Kattar,,USA,31, 5.12, 39, 7.10, 54, 0.42, 29, 91, 0.1
Brian Kelleher,Boom,USA,31, 3.36, 41, 4.61, 54, 1.79, 42, 60, 0.7
Casey Kenney,,USA,31, 4.85, 42, 4.67, 58, 1.09, 35, 61, 0.4
Aliaskhab Khizriev,Black Wolf,RUS,31, 6.03, 64, 4.36, 62, 5.77, 60, 100, 3.9
Pannie Kianzad,Banzai,SWE,29, 5.32, 49, 4.12, 53, 0.40, 30, 80, 0.1
Ji Yeon Kim,Firefist,KOR,31, 5.37, 36, 5.41, 56, 0.00, 0, 50, 0.1
Kamuela Kirk,The Jawaiian,USA,34, 2.99, 49, 5.10, 37, 0.86, 40, 53, 1.3
